k,q,alpha,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9
2,1,50-50,0.3333333333333333,,,,,,,,
2,1,40-60,0.38888888888888895,,,,,,,,
2,1,30-70,0.5873015873015873,,,,,,,,
2,1,20-80,1.0833333333333335,,,,,,,,
2,1,10-90,2.7037037037037033,,,,,,,,
2,1,50-50,0.3333333333333333,,,,,,,,
2,1,40-60,0.3888888888888888,,,,,,,,
2,1,30-70,0.5873015873015871,,,,,,,,
2,1,20-80,1.0833333333333333,,,,,,,,
2,1,10-90,2.7037037037037037,,,,,,,,
2,1,50-50,0.3333333333333333,,,,,,,,
2,1,40-60,0.38888888888888895,,,,,,,,
2,1,30-70,0.5873015873015873,,,,,,,,
2,1,20-80,1.0833333333333333,,,,,,,,
2,1,10-90,2.7037037037037033,,,,,,,,
2,1,50-50,0.3333333333333333,,,,,,,,
2,1,40-60,0.38888888888888895,,,,,,,,
2,1,30-70,0.5873015873015873,,,,,,,,
2,1,20-80,1.0833333333333333,,,,,,,,
2,1,10-90,2.7037037037037033,,,,,,,,
2,1,50-50,0.3333333333333333,,,,,,,,
2,1,40-60,0.38888888888888884,,,,,,,,
2,1,30-70,0.5873015873015874,,,,,,,,
2,1,20-80,1.0833333333333333,,,,,,,,
2,1,10-90,2.7037037037037037,,,,,,,,
2,1,50-50,0.3333333333333333,,,,,,,,
2,1,40-60,0.3888888888888889,,,,,,,,
2,1,30-70,0.5873015873015875,,,,,,,,
2,1,20-80,1.0833333333333333,,,,,,,,
2,1,10-90,2.7037037037037033,,,,,,,,
2,1,50-50,0.3333333333333333,,,,,,,,
2,1,40-60,0.388888888888889,,,,,,,,
2,1,30-70,0.5873015873015873,,,,,,,,
2,1,20-80,1.0833333333333328,,,,,,,,
2,1,10-90,2.7037037037037024,,,,,,,,
2,1,50-50,0.3333333333333333,,,,,,,,
2,1,40-60,0.38888888888888895,,,,,,,,
2,1,30-70,0.5873015873015873,,,,,,,,
2,1,20-80,1.0833333333333333,,,,,,,,
2,1,10-90,2.7037037037037033,,,,,,,,
2,1,50-50,0.33333333333333337,,,,,,,,
2,1,40-60,0.3888888888888889,,,,,,,,
2,1,30-70,0.5873015873015873,,,,,,,,
2,1,20-80,1.0833333333333333,,,,,,,,
2,1,10-90,2.7037037037037037,,,,,,,,
2,1,50-50,0.3333333333333333,,,,,,,,
2,1,40-60,0.388888888888889,,,,,,,,
2,1,30-70,0.5873015873015873,,,,,,,,
2,1,20-80,1.0833333333333328,,,,,,,,
2,1,10-90,2.7037037037037024,,,,,,,,
2,1,50-50,0.33333333333333337,,,,,,,,
2,1,40-60,0.3888888888888889,,,,,,,,
2,1,30-70,0.5873015873015873,,,,,,,,
2,1,20-80,1.0833333333333333,,,,,,,,
2,1,10-90,2.7037037037037037,,,,,,,,
2,1,50-50,0.3333333333333333,,,,,,,,
