k,q,alpha,rho_1,rho_2,rho_3
3,1,33-33-34,0.4976624455136431,,
3,1,20-30-50,0.4773776546629731,,
3,1,10-40-50,0.3845053234019274,,
3,1,10-30-60,0.5089163237311386,,
3,1,10-20-70,0.8382642998027614,,
3,1,10-10-80,1.7166369224667857,,
3,1,33-33-34,0.49766244551364297,,
3,1,20-30-50,0.47737765466297316,,
3,1,10-40-50,0.38450532340192733,,
3,1,10-30-60,0.5089163237311386,,
3,1,10-20-70,0.8382642998027615,,
3,1,10-10-80,1.7166369224667855,,
3,1,33-33-34,0.5076134479119553,,
3,1,20-30-50,1.083333333333333,,
3,1,10-40-50,2.703703703703702,,
3,1,10-30-60,2.7037037037037033,,
3,1,10-20-70,2.7037037037037033,,
3,1,10-10-80,2.703703703703702,,
3,1,33-33-34,0.506327955460843,,
3,1,20-30-50,0.573442945584318,,
3,1,10-40-50,0.3928999066183594,,
3,1,10-30-60,0.5778533635676492,,
3,1,10-20-70,1.0417963578529532,,
3,1,10-10-80,2.4970238095238098,,
3,1,33-33-34,0.5057331565729513,,
3,1,20-30-50,0.854501585163987,,
3,1,10-40-50,1.446906740535549,,
3,1,10-30-60,1.4994749002310432,,
3,1,10-20-70,1.666666666666666,,
3,1,10-10-80,2.012633624878522,,
3,1,33-33-34,0.5057331565729514,,
3,1,20-30-50,0.8545015851639872,,
3,1,10-40-50,1.446906740535549,,
3,1,10-30-60,1.4994749002310437,,
3,1,10-20-70,1.6666666666666667,,
3,1,10-10-80,2.0126336248785224,,
3,1,33-33-34,0.4976624455136429,,
3,1,20-30-50,0.6214279315596166,,
3,1,10-40-50,0.790633608815427,,
3,1,10-30-60,0.9259259259259258,,
3,1,10-20-70,1.2038567493112946,,
3,1,10-10-80,1.716636922466785,,
3,1,33-33-34,0.5070996381337823,,
3,1,20-30-50,0.5839847298981677,,
3,1,10-40-50,0.3977576773267901,,
3,1,10-30-60,0.5866475188116232,,
3,1,10-20-70,1.0596349011845285,,
3,1,10-10-80,2.5567871954977965,,
3,1,33-33-34,0.5069419030338607,,
3,1,20-30-50,1.0344812246147823,,
3,1,10-40-50,2.401667155484245,,
3,1,10-30-60,2.43600604896683,,
3,1,10-20-70,2.4972425512395486,,
3,1,10-10-80,2.5859396322969337,,
3,1,33-33-34,0.48572009162480223,,
3,1,20-30-50,0.33721714188615476,,
3,1,10-40-50,0.33569113383415206,,
3,1,10-30-60,0.39289977717032815,,
3,1,10-20-70,0.5939575331491506,,
3,1,10-10-80,1.0949557969888564,,
3,1,33-33-34,0.49176547450067803,,
3,1,20-30-50,0.41100620595934995,,
3,1,10-40-50,0.3668163973624364,,
3,1,10-30-60,0.4576925469848992,,
3,1,10-20-70,0.7195535705185748,,
3,1,10-10-80,1.3750783612678334,,
3,1,33-33-34,0.5056627372564949,,
3,1,20-30-50,0.5660717881884709,,
3,1,10-40-50,0.3936160050548762,,
3,1,10-30-60,0.5727101058773506,,
3,1,10-20-70,1.0229470080656953,,
3,1,10-10-80,2.4112254189367546,,
3,1,33-33-34,0.5056301992887231,,
3,1,20-30-50,0.5991346985781167,,
3,1,10-40-50,0.49132486972670847,,
3,1,10-30-60,0.6323949054906399,,
3,1,10-20-70,0.9944704242982485,,
3,1,10-10-80,1.963631175769993,,
3,1,33-33-34,0.5055670385745,,
3,1,20-30-50,0.8267157560535177,,
3,1,10-40-50,1.324903136338955,,
3,1,10-30-60,1.3804603164761884,,
3,1,10-20-70,1.5583203626613507,,
3,1,10-10-80,1.9330162504954422,,
3,1,33-33-34,0.5010718874113391,,
3,1,20-30-50,0.7425796924191997,,
3,1,10-40-50,1.1233546348632881,,
3,1,10-30-60,1.2627719953477348,,
3,1,10-20-70,1.5244119290758529,,
3,1,10-10-80,1.9640572598342416,,
3,1,33-33-34,0.5057331565729513,,
3,1,20-30-50,0.8545015851639876,,
3,1,10-40-50,1.4469067405355485,,
3,1,10-30-60,1.4994749002310432,,
3,1,10-20-70,1.6666666666666665,,
3,1,10-10-80,2.012633624878523,,
3,1,33-33-34,0.5076134479119553,,
3,1,20-30-50,1.0833333333333333,,
3,1,10-40-50,2.7037037037037037,,
3,1,10-30-60,2.7037037037037037,,
3,1,10-20-70,2.7037037037037037,,
3,1,10-10-80,2.7037037037037037,,
3,1,33-33-34,0.4976624455136431,,
3,1,20-30-50,0.6214279315596166,,
3,1,10-40-50,0.790633608815427,,
3,1,10-30-60,0.9259259259259257,,
3,1,10-20-70,1.2038567493112946,,
3,1,10-10-80,1.7166369224667857,,
3,1,33-33-34,0.49709728385727353,,
3,1,20-30-50,0.47110106231586013,,
3,1,10-40-50,0.3831669622336819,,
3,1,10-30-60,0.5042362861430555,,
3,1,10-20-70,0.8266159066313495,,
3,1,10-10-80,1.6798725218243662,,
3,1,33-33-34,0.49399593727471863,,
3,1,20-30-50,0.5142005460032308,,
3,1,10-40-50,0.5689738430635244,,
3,1,10-30-60,0.6841353719453526,,
3,1,10-20-70,0.951187845204657,,
3,1,10-10-80,1.4944060470131528,,
5,1,20-20-20-20-20,0.5666666666666665,,
5,1,10-20-20-20-30,0.5185319374789445,,
5,1,10-10-20-20-40,0.46650812524772095,,
5,1,10-10-10-30-40,0.43657170684197705,,
5,1,20-20-20-20-20,0.5666666666666667,,
5,1,10-20-20-20-30,0.5185319374789445,,
5,1,10-10-20-20-40,0.466508125247721,,
5,1,10-10-10-30-40,0.43657170684197705,,
5,1,20-20-20-20-20,1.0833333333333326,,
5,1,10-20-20-20-30,2.7037037037037033,,
5,1,10-10-20-20-40,2.7037037037037033,,
5,1,10-10-10-30-40,2.703703703703702,,
5,1,20-20-20-20-20,0.5353099710223265,,
5,1,10-20-20-20-30,0.5281116612485104,,
5,1,10-10-20-20-40,0.501470279353077,,
5,1,10-10-10-30-40,0.4474515985362059,,
5,1,20-20-20-20-20,0.7544023564130032,,
5,1,10-20-20-20-30,0.8602197680285621,,
5,1,10-10-20-20-40,0.9065844580797383,,
5,1,10-10-10-30-40,1.5907760757263583,,
5,1,20-20-20-20-20,0.4910503646406003,,
5,1,10-20-20-20-30,0.6195807800622453,,
5,1,10-10-20-20-40,0.6473402285344859,,
5,1,10-10-10-30-40,0.4741547597718655,,
5,1,20-20-20-20-20,0.9748437034300951,,
5,1,10-20-20-20-30,0.9721905315763669,,
5,1,10-10-20-20-40,0.9574086145757608,,
5,1,10-10-10-30-40,0.5664087916344399,,
5,1,20-20-20-20-20,1.0424461144752015,,
5,1,10-20-20-20-30,1.0596349011845285,,
5,1,10-10-20-20-40,2.556787195497796,,
5,1,10-10-10-30-40,2.556787195497797,,
5,1,20-20-20-20-20,0.8092050999762387,,
5,1,10-20-20-20-30,1.3629247435617757,,
5,1,10-10-20-20-40,1.296911933506859,,
5,1,10-10-10-30-40,1.1122415224223328,,
5,1,20-20-20-20-20,0.5646395618177398,,
5,1,10-20-20-20-30,0.4523249354638433,,
5,1,10-10-20-20-40,0.4663723233246424,,
5,1,10-10-10-30-40,0.39677956872516473,,
5,1,20-20-20-20-20,0.7739853597130484,,
5,1,10-20-20-20-30,0.5312943935613896,,
5,1,10-10-20-20-40,0.45647944736288315,,
5,1,10-10-10-30-40,0.4165160477344617,,
5,1,20-20-20-20-20,0.7459912289531706,,
5,1,10-20-20-20-30,0.7215353841478787,,
5,1,10-10-20-20-40,1.2102097236716116,,
5,1,10-10-10-30-40,0.9669259561391648,,
5,1,20-20-20-20-20,0.875498986505054,,
5,1,10-20-20-20-30,0.9082021562638681,,
5,1,10-10-20-20-40,1.7151458689163768,,
5,1,10-10-10-30-40,1.684228147065985,,
5,1,20-20-20-20-20,0.5714368064194008,,
5,1,10-20-20-20-30,0.6046949196972371,,
5,1,10-10-20-20-40,0.6795079808286271,,
5,1,10-10-10-30-40,0.5778088086431141,,
5,1,20-20-20-20-20,0.5255705413757166,,
5,1,10-20-20-20-30,0.5075285070842029,,
5,1,10-10-20-20-40,0.5005443458660324,,
5,1,10-10-10-30-40,0.44879931171426957,,
5,1,20-20-20-20-20,0.7778438367023384,,
5,1,10-20-20-20-30,0.8229205487892742,,
5,1,10-10-20-20-40,0.8128316711310003,,
5,1,10-10-10-30-40,0.554790782630002,,
5,1,20-20-20-20-20,1.083333333333333,,
5,1,10-20-20-20-30,2.7037037037037037,,
5,1,10-10-20-20-40,2.7037037037037037,,
5,1,10-10-10-30-40,2.703703703703704,,
5,1,20-20-20-20-20,0.7844396922145223,,
5,1,10-20-20-20-30,0.572318495084738,,
5,1,10-10-20-20-40,0.4482019625909908,,
5,1,10-10-10-30-40,0.436694577437294,,
5,1,20-20-20-20-20,0.7110594377893065,,
5,1,10-20-20-20-30,0.5268860607587094,,
5,1,10-10-20-20-40,0.46907273635543295,,
5,1,10-10-10-30-40,0.5366973910539296,,
5,1,20-20-20-20-20,0.5190756619904631,,
5,1,10-20-20-20-30,0.5051255447946242,,
5,1,10-10-20-20-40,0.5236310985082514,,
5,1,10-10-10-30-40,0.42418961568742775,,
5,2,20-20-20-20-20,0.7793731176801286,0.5563609543420268,
5,2,10-20-20-20-30,0.6422619631634319,0.5212578665371671,
5,2,10-10-20-20-40,0.7811185988446001,0.45391556798599797,
5,2,10-10-10-30-40,0.7624584820696172,0.431798181342849,
5,2,20-20-20-20-20,0.7793731176801318,0.5563609543420354,
5,2,10-20-20-20-30,0.6422619631634282,0.5212578665371602,
5,2,10-10-20-20-40,0.781118598844592,0.4539155679859921,
5,2,10-10-10-30-40,0.7624584820696566,0.4317981813428514,
5,2,20-20-20-20-20,0.9999999999999992,0.6666666666666661,
5,2,10-20-20-20-30,2.0664489678389906,0.7906938893038653,
5,2,10-10-20-20-40,2.2499999999999987,1.8124999999999978,
5,2,10-10-10-30-40,2.249999999999998,1.8124999999999971,
5,2,20-20-20-20-20,0.6941191680264358,0.5029814312860887,
5,2,10-20-20-20-30,0.7290051805071116,0.5080786627945582,
5,2,10-10-20-20-40,0.9906913376438171,0.49757734547842514,
5,2,10-10-10-30-40,1.135738535386691,0.4138433050146667,
5,2,20-20-20-20-20,0.6641114012693722,0.61733041612727,
5,2,10-20-20-20-30,0.7167392766191734,0.5909534467963535,
5,2,10-10-20-20-40,0.9008832292852937,0.7324405870734051,
5,2,10-10-10-30-40,1.2957225459752764,0.836376824373585,
5,2,20-20-20-20-20,0.770703197649621,0.5432096507700781,
5,2,10-20-20-20-30,0.8231521080187119,0.5706947345535667,
5,2,10-10-20-20-40,1.6968173394268593,0.5612064432521633,
5,2,10-10-10-30-40,1.7679185702146976,0.38319937851757313,
5,2,20-20-20-20-20,0.7609528235502869,0.5450028087022613,
5,2,10-20-20-20-30,0.7652569057348146,0.7078297095712334,
5,2,10-10-20-20-40,0.7743607578200017,0.6761911323039662,
5,2,10-10-10-30-40,0.9632458458531838,0.4523568835858509,
5,2,20-20-20-20-20,0.9178943178797434,0.6529137450709205,
5,2,10-20-20-20-30,0.9483655733147975,0.6574833823700649,
5,2,10-10-20-20-40,1.9436468219730192,0.7580774842658069,
5,2,10-10-10-30-40,1.9431940453983727,0.43472355419808417,
5,2,20-20-20-20-20,0.8531224719273318,0.6648534215846323,
5,2,10-20-20-20-30,1.257945735423718,0.6453133939096135,
5,2,10-10-20-20-40,1.7540369332288062,0.8531959986243256,
5,2,10-10-10-30-40,1.6691136397634285,0.7314894505760474,
5,2,20-20-20-20-20,0.6222300766604492,0.575490800033363,
5,2,10-20-20-20-30,0.7792818730821346,0.425672521905903,
5,2,10-10-20-20-40,0.7958019471910425,0.39591632089862694,
5,2,10-10-10-30-40,1.2576028896216829,0.3284572093777659,
5,2,20-20-20-20-20,0.7126102559868398,0.6994625815687692,
5,2,10-20-20-20-30,1.1469097840747098,0.5243667564193417,
5,2,10-10-20-20-40,1.415636972322822,0.5353837131131579,
5,2,10-10-10-30-40,1.3681116581537207,0.4654103096212021,
5,2,20-20-20-20-20,0.6622574390984608,0.4556513889097166,
5,2,10-20-20-20-30,0.6896836135131506,0.47906540041676016,
5,2,10-10-20-20-40,1.2699833396913538,0.46091543888787095,
5,2,10-10-10-30-40,1.295711049051575,0.42685194014018707,
5,2,20-20-20-20-20,0.7450527378670212,0.5971618698376188,
5,2,10-20-20-20-30,0.7899708210795872,0.652237129163788,
5,2,10-10-20-20-40,1.4280650824515644,0.632054500489178,
5,2,10-10-10-30-40,1.4533735138220238,0.7812504720147837,
5,2,20-20-20-20-20,0.9021296456083097,0.6964612811055613,
5,2,10-20-20-20-30,1.3695019378694182,0.7765246174125103,
5,2,10-10-20-20-40,1.5163305863853611,0.811348325406772,
5,2,10-10-10-30-40,1.6066964136575566,0.5302830724552474,
5,2,20-20-20-20-20,0.7040814389789751,0.4412993703758926,
5,2,10-20-20-20-30,0.7315970278070172,0.4361027460074228,
5,2,10-10-20-20-40,1.1800605032424925,0.41191520118114827,
5,2,10-10-10-30-40,1.3219914302021751,0.37500913619194676,
5,2,20-20-20-20-20,0.8498807191804837,0.5720250745129671,
5,2,10-20-20-20-30,0.8535473826776906,0.5702027960056409,
5,2,10-10-20-20-40,0.8779228674399898,0.604210720599563,
5,2,10-10-10-30-40,1.3252428034083674,0.46858690472615083,
5,2,20-20-20-20-20,0.9999999999999998,0.6666666666666663,
5,2,10-20-20-20-30,2.0664489678389906,0.7906938893038655,
5,2,10-10-20-20-40,2.2499999999999996,1.8124999999999996,
5,2,10-10-10-30-40,2.25,1.8125000000000004,
5,2,20-20-20-20-20,0.6686395486922356,0.46912589888810957,
5,2,10-20-20-20-30,0.5919890095902692,0.5093730826360897,
5,2,10-10-20-20-40,0.6376817910748335,0.4758601528487623,
5,2,10-10-10-30-40,0.9635887093787012,0.416568596761145,
5,2,20-20-20-20-20,0.6171644574513402,0.4414187060364002,
5,2,10-20-20-20-30,0.5765108028036884,0.47427172116195476,
5,2,10-10-20-20-40,0.8656155105604193,0.42998982894403703,
5,2,10-10-10-30-40,0.9000728207486004,0.44012459990346725,
5,2,20-20-20-20-20,0.7505744971285546,0.483070812669159,
5,2,10-20-20-20-30,0.664024513409619,0.5065503774293756,
5,2,10-10-20-20-40,0.7237496930164218,0.498242484399485,
5,2,10-10-10-30-40,0.920495875104797,0.4621157846473399,
5,3,20-20-20-20-20,0.7583333333333224,0.6250000000000144,0.529166666666788
5,3,10-20-20-20-30,0.7205756214935786,0.6636627364184717,0.49335431180858985
5,3,10-10-20-20-40,1.486328512829095,0.6815742177814449,0.42407766591369844
5,3,10-10-10-30-40,1.5512950680120072,0.7936032469992782,0.4032765444350469
5,3,20-20-20-20-20,0.7583333333333298,0.6249999999999657,0.5291666666665443
5,3,10-20-20-20-30,0.7205756214935725,0.6636627364184892,0.49335431180857664
5,3,10-10-20-20-40,1.486328512829166,0.6815742177820125,0.42407766591397283
5,3,10-10-10-30-40,1.5512950680116548,0.7936032469992512,0.40327654443504624
5,3,20-20-20-20-20,0.8000000000000003,0.7999999999999996,0.5000000000000001
5,3,10-20-20-20-30,1.674456264653801,0.7999999999999997,0.5255437353461963
5,3,10-10-20-20-40,1.7999999999999978,1.518821998875017,0.6145113344583157
5,3,10-10-10-30-40,1.8000000000000047,1.799999999999995,1.2857142857142858
5,3,20-20-20-20-20,0.7446404217863523,0.5927394570050237,0.5442262701612455
5,3,10-20-20-20-30,0.9206516143375154,0.7190619098298913,0.49945433809433787
5,3,10-10-20-20-40,1.5754780550516039,0.8915115981149864,0.45990782204010194
