k,q,alpha,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7
10,1,10-10-10-10-10-10-10-10-10-10,0.5919191919191917,,,,,,
10,1,5-5-5-10-10-10-10-10-15-20,0.5574228627415293,,,,,,
10,1,5-5-5-5-5-5-5-15-20-30,0.43982071995464855,,,,,,
10,1,10-10-10-10-10-10-10-10-10-10,0.591919191919192,,,,,,
10,1,5-5-5-10-10-10-10-10-15-20,0.5574228627415293,,,,,,
10,1,5-5-5-5-5-5-5-15-20-30,0.43982071995464833,,,,,,
10,1,10-10-10-10-10-10-10-10-10-10,2.7037037037037015,,,,,,
10,1,5-5-5-10-10-10-10-10-15-20,6.017543859649121,,,,,,
10,1,5-5-5-5-5-5-5-15-20-30,6.017543859649123,,,,,,
10,1,10-10-10-10-10-10-10-10-10-10,0.5828895564420449,,,,,,
10,1,5-5-5-10-10-10-10-10-15-20,0.5450418939273142,,,,,,
10,1,5-5-5-5-5-5-5-15-20-30,0.43990656815003853,,,,,,
10,1,10-10-10-10-10-10-10-10-10-10,0.9748380877740347,,,,,,
10,1,5-5-5-10-10-10-10-10-15-20,1.2834956009260257,,,,,,
10,1,5-5-5-5-5-5-5-15-20-30,1.432144379776571,,,,,,
10,1,10-10-10-10-10-10-10-10-10-10,0.7659656212109294,,,,,,
10,1,5-5-5-10-10-10-10-10-15-20,0.7235225156993186,,,,,,
10,1,5-5-5-5-5-5-5-15-20-30,0.617074761684838,,,,,,
10,1,10-10-10-10-10-10-10-10-10-10,1.995427889625741,,,,,,
10,1,5-5-5-10-10-10-10-10-15-20,1.888521197087062,,,,,,
10,1,5-5-5-5-5-5-5-15-20-30,3.3801223905004547,,,,,,
10,1,10-10-10-10-10-10-10-10-10-10,2.5567871954978005,,,,,,
10,1,5-5-5-10-10-10-10-10-15-20,5.662313412324221,,,,,,
10,1,5-5-5-5-5-5-5-15-20-30,5.66231341232422,,,,,,
10,1,10-10-10-10-10-10-10-10-10-10,0.9379302570857445,,,,,,
10,1,5-5-5-10-10-10-10-10-15-20,1.1418955669000321,,,,,,
10,1,5-5-5-5-5-5-5-15-20-30,1.77145137415938,,,,,,
10,1,10-10-10-10-10-10-10-10-10-10,0.8125813618990344,,,,,,
10,1,5-5-5-10-10-10-10-10-15-20,0.8568692024369078,,,,,,
10,1,5-5-5-5-5-5-5-15-20-30,1.2175299998563296,,,,,,
10,1,10-10-10-10-10-10-10-10-10-10,0.6420117046671668,,,,,,
10,1,5-5-5-10-10-10-10-10-15-20,0.6652439164759814,,,,,,
10,1,5-5-5-5-5-5-5-15-20-30,0.8634195310058025,,,,,,
10,1,10-10-10-10-10-10-10-10-10-10,0.5285701832394555,,,,,,
10,1,5-5-5-10-10-10-10-10-15-20,0.5457679895680936,,,,,,
10,1,5-5-5-5-5-5-5-15-20-30,0.5878403780447743,,,,,,
10,1,10-10-10-10-10-10-10-10-10-10,1.33501307570151,,,,,,
10,1,5-5-5-10-10-10-10-10-15-20,1.555932580289186,,,,,,
10,1,5-5-5-5-5-5-5-15-20-30,1.1915317737952402,,,,,,
10,1,10-10-10-10-10-10-10-10-10-10,0.674189560283568,,,,,,
10,1,5-5-5-10-10-10-10-10-15-20,0.7050219553441247,,,,,,
10,1,5-5-5-5-5-5-5-15-20-30,0.5815948454283028,,,,,,
10,1,10-10-10-10-10-10-10-10-10-10,0.8612469721114717,,,,,,
10,1,5-5-5-10-10-10-10-10-15-20,0.8823301264709278,,,,,,
10,1,5-5-5-5-5-5-5-15-20-30,1.1055892216000898,,,,,,
10,1,10-10-10-10-10-10-10-10-10-10,1.9353662870472836,,,,,,
10,1,5-5-5-10-10-10-10-10-15-20,1.3023902118202066,,,,,,
10,1,5-5-5-5-5-5-5-15-20-30,0.9783691000293496,,,,,,
10,1,10-10-10-10-10-10-10-10-10-10,2.703703703703705,,,,,,
10,1,5-5-5-10-10-10-10-10-15-20,6.017543859649127,,,,,,
10,1,5-5-5-5-5-5-5-15-20-30,6.017543859649124,,,,,,
10,1,10-10-10-10-10-10-10-10-10-10,0.7393364383456914,,,,,,
10,1,5-5-5-10-10-10-10-10-15-20,0.5747593962347374,,,,,,
10,1,5-5-5-5-5-5-5-15-20-30,0.5066438975827261,,,,,,
10,1,10-10-10-10-10-10-10-10-10-10,0.8396774154581162,,,,,,
10,1,5-5-5-10-10-10-10-10-15-20,0.6748888468153397,,,,,,
10,1,5-5-5-5-5-5-5-15-20-30,0.6477280376015747,,,,,,
10,1,10-10-10-10-10-10-10-10-10-10,0.6188627423267754,,,,,,
10,1,5-5-5-10-10-10-10-10-15-20,0.5353309364277659,,,,,,
10,1,5-5-5-5-5-5-5-15-20-30,0.5097149293790599,,,,,,
10,3,10-10-10-10-10-10-10-10-10-10,1.6338278931748391,1.1616776695597082,0.5259589214106909,,,,
10,3,5-5-5-10-10-10-10-10-15-20,3.0171122963177655,0.6784292142754483,0.5482176767917349,,,,
10,3,5-5-5-5-5-5-5-15-20-30,3.033527554832654,0.8132871302216044,0.40663402444546703,,,,
10,3,10-10-10-10-10-10-10-10-10-10,1.633827893175345,1.161677669559356,0.5259589214104341,,,,
10,3,5-5-5-10-10-10-10-10-15-20,3.0171122963207027,0.6784292142792541,0.5482176767962387,,,,
10,3,5-5-5-5-5-5-5-15-20-30,3.0335275548232037,0.8132871302119209,0.4066340244453304,,,,
