k,q,alpha,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6
2,1,50-50,1.0,1.0,1.0,1.0,1.0,0.7500499925009999
2,1,20-80,1.0312402366633417,1.0,1.0,1.0,1.0,1.0
2,1,10-90,1.6385340984534755,1.0,1.0,1.0,1.0,1.0
2,1,50-50,1.0,1.0,1.0,1.0,1.0,0.7500004999992501
2,1,20-80,1.031249902343979,1.0,1.0,1.0,1.0,1.0
2,1,10-90,1.6388853395209617,1.0,1.0,1.0,1.0,1.0
2,1,50-50,1.0,1.0,1.0,1.0,1.0,0.9375
2,1,20-80,1.0047590719809638,1.0,1.0,1.0,1.0,1.0
2,1,10-90,1.044766435986159,1.0,1.0,1.0,1.0,1.0
2,1,50-50,1.0,1.0,1.0,1.0,1.0,0.9900000000000001
2,1,20-80,1.0005945303210464,1.0,1.0,1.0,1.0,1.0
2,1,10-90,1.0043556939651543,1.0,1.0,1.0,1.0,1.0
2,1,50-50,1.0,1.0,1.0,1.0,1.0,0.7975
2,1,20-80,1.0226882812226463,1.0,1.0,1.0,1.0,1.0
2,1,10-90,1.373064257742969,1.0,1.0,1.0,1.0,1.0
2,1,50-50,1.0,1.0,1.0,1.0,1.0,0.7505546309994692
2,1,20-80,1.0311417749730423,1.0,1.0,1.0,1.0,1.0
2,1,10-90,1.6349633136094677,1.0,1.0,1.0,1.0,1.0
2,1,50-50,1.0,1.0,1.0,1.0,1.0,0.7560603807257585
2,1,20-80,1.0300783763819876,1.0,1.0,1.0,1.0,1.0
2,1,10-90,1.597224616369636,1.0,1.0,1.0,1.0,1.0
2,1,50-50,1.0,1.0,1.0,1.0,1.0,0.9375
2,1,20-80,1.0047590719809638,1.0,1.0,1.0,1.0,1.0
2,1,10-90,1.044766435986159,1.0,1.0,1.0,1.0,1.0
2,1,50-50,1.0,1.0,1.0,1.0,1.0,0.7500013888831019
2,1,20-80,1.031249728734405,1.0,1.0,1.0,1.0,1.0
2,1,10-90,1.6388790296065678,1.0,1.0,1.0,1.0,1.0
2,1,50-50,1.0,1.0,1.0,1.0,1.0,0.7515360946745562
2,1,20-80,1.0309507582108006,1.0,1.0,1.0,1.0,1.0
2,1,10-90,1.628073291333896,1.0,1.0,1.0,1.0,1.0
2,1,50-50,1.0,1.0,1.0,1.0,1.0,0.7500222207408286
2,1,20-80,1.0312456601742925,1.0,1.0,1.0,1.0,1.0
2,1,10-90,1.6387311677541718,1.0,1.0,1.0,1.0,1.0
2,1,50-50,1.0,1.0,1.0,1.0,1.0,0.7633308984660336
2,1,20-80,1.028704239467776,1.0,1.0,1.0,1.0,1.0
2,1,10-90,1.5506358732686925,1.0,1.0,1.0,1.0,1.0
2,1,50-50,1.0,1.0,1.0,1.0,1.0,0.7576331360946745
2,1,20-80,1.0297782353887357,1.0,1.0,1.0,1.0,1.0
2,1,10-90,1.5868422291189666,1.0,1.0,1.0,1.0,1.0
2,1,50-50,1.0,1.0,1.0,1.0,1.0,0.7505031445265865
2,1,20-80,1.0311518129868091,1.0,1.0,1.0,1.0,1.0
2,1,10-90,1.6353267487527539,1.0,1.0,1.0,1.0,1.0
2,1,50-50,1.0,1.0,1.0,1.0,1.0,0.7540815640956732
2,1,20-80,1.0304582916073013,1.0,1.0,1.0,1.0,1.0
2,1,10-90,1.6105352072045356,1.0,1.0,1.0,1.0,1.0
2,1,50-50,1.0,1.0,1.0,1.0,1.0,0.9375
2,1,20-80,1.0047590719809638,1.0,1.0,1.0,1.0,1.0
2,1,10-90,1.044766435986159,1.0,1.0,1.0,1.0,1.0
2,1,50-50,1.0,1.0,1.0,1.0,1.0,0.8801775147928995
2,1,20-80,1.0108841709217953,1.0,1.0,1.0,1.0,1.0
2,1,10-90,1.1279493910442295,1.0,1.0,1.0,1.0,1.0
2,1,50-50,1.0,1.0,1.0,1.0,1.0,0.7500124995312656
2,1,20-80,1.0312475587367937,1.0,1.0,1.0,1.0,1.0
2,1,10-90,1.638800163563316,1.0,1.0,1.0,1.0,1.0
2,1,50-50,1.0,1.0,1.0,1.0,1.0,0.7500017146688203
2,1,20-80,1.0312496651047152,1.0,1.0,1.0,1.0,1.0
2,1,10-90,1.6388767169684506,1.0,1.0,1.0,1.0,1.0
2,1,50-50,1.0,1.0,1.0,1.0,1.0,0.7506844623756802
2,1,20-80,1.0311164702633715,1.0,1.0,1.0,1.0,1.0
2,1,10-90,1.6340477387226617,1.0,1.0,1.0,1.0,1.0
3,2,33-33-34,1.0,1.0,1.0,1.0,0.7544378553644497,0.746755070068357
3,2,10-40-50,1.5224223997951134,1.0,1.0,1.0,1.0,0.660146375522378
3,2,10-10-80,1.6207160192285743,1.404164716241628,1.0,1.0,1.0,1.0
3,2,33-33-34,1.0,1.0,1.0,1.0,0.7537942695490581,0.7464382729203674
3,2,10-40-50,1.527833813931391,1.0,1.0,1.0,1.0,0.6596165023453208
3,2,10-10-80,1.6249566071860817,1.4062292373643495,1.0,1.0,1.0,1.0
