k,q,alpha,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9
2,1,30-70,0.5873015873015873,,,,,,,,
2,1,21-79,1.0092425155716291,,,,,,,,
2,1,10-90,2.7037037037037033,,,,,,,,
3,2,33-33-34,0.5075757575757583,0.4928698752228172,,,,,,,
3,2,18-32-50,1.0044567636540507,0.4156821252348366,,,,,,,
3,2,10-40-50,2.0557777493406166,0.3192222506593867,,,,,,,
3,2,10-10-80,2.2499999999999907,1.812499999999998,,,,,,,
5,4,20-20-20-20-20,0.6666666666667209,0.666666666666681,0.666666666666665,0.6666666666659364,,,,,
5,4,14-20-20-20-26,0.9681765791640614,0.6666666666666772,0.6666666666665303,0.5299919190031284,,,,,
5,4,10-10-20-20-40,1.500000000002487,1.301956281915223,0.6666666666666524,0.44804371808508126,,,,,
5,4,10-10-10-30-40,1.4999999999999496,1.4999999999995726,1.1445955880516125,0.32762663417078164,,,,,
10,9,10-10-10-10-10-10-10-10-10-10,0.8181818182514202,0.8181818181834402,0.8181818181821983,0.8181818181818258,0.8181818181818076,0.8181818181816658,0.8181818181812689,0.818181818177439,0.8181818181739203
10,9,8-10-10-10-10-10-10-10-10-12,1.0263045837621745,0.8181818181900261,0.818181818183738,0.8181818181822995,0.8181818181818145,0.8181818181811804,0.81818181817899,0.8181818181763965,0.6858166283814142
10,9,5-5-5-5-5-5-5-15-20-30,1.727272727372143,1.7272727272780217,1.7272727272745747,1.7272727272716535,1.7272727272625736,1.7272727271899728,1.243778484871997,0.46368576981007553,0.29253574532132515
