eps_0,eps_1,eps_2,lambda_0,lambda_1
0.98,0.01,0.01,24.750000000000004,24.255102040816304
0.97,0.01,0.02,24.50742286396187,12.000309094801034
0.96,0.01,0.03,24.506199485327897,7.83755051467211
0.95,0.01,0.04,24.505791749037126,5.7573661456997165
0.94,0.01,0.05,24.50558800360728,4.510369443201228
0.93,0.01,0.06,24.50546586847038,3.6800180024973628
0.92,0.01,0.07,24.505384544342327,3.0877831575210237
0.91,0.01,0.08,24.50532654461103,2.6443987301142506
0.9,0.01,0.09,24.505283125671106,2.3002724298844477
0.89,0.01,0.1,24.505249429913846,2.0256494464906467
0.88,0.01,0.11,24.50522254280717,1.801595639011012
0.87,0.01,0.12,24.50520060971362,1.6154890454587942
0.86,0.01,0.13,24.505182394285995,1.458592203209534
0.85,0.01,0.14,24.50516704067502,1.3246648920980917
0.84,0.01,0.15,24.50515393764579,1.2091317766399179
0.83,0.01,0.16,24.505142637046767,1.1085621822303402
0.82,0.01,0.17,24.505132802852472,1.020333481222135
0.81,0.01,0.18,24.505124178191263,0.9424066860062581
0.8,0.01,0.19,24.505116563364005,0.873172910320207
0.79,0.01,0.2,24.505109800804334,0.8113458953981905
0.78,0.01,0.21,24.505103764551443,0.7558852464375789
0.77,0.01,0.22,24.505098352730702,0.7059406083082571
0.76,0.01,0.23,24.505093482085766,0.6608104080744077
0.75,0.01,0.24,24.505089083937275,0.6199109160627252
0.74,0.01,0.25,24.505085101152428,0.5827527366854106
0.73,0.01,0.26,24.505081485842435,0.5489227291206724
0.72,0.01,0.27,24.5050781975918,0.5180699505563453
0.71,0.01,0.28,24.505075202081628,0.48989461683184743
0.7,0.01,0.29,24.505072470008653,0.4641393526514399
0.69,0.01,0.3,24.505069976228466,0.4405821976845772
0.68,0.01,0.31,24.505067699070814,0.4190309726559356
0.67,0.01,0.32,24.505065619788233,0.39931870856997875
0.66,0.01,0.33,24.505063722108716,0.38129991425492094
0.65,0.01,0.34,24.505061991870726,0.3648475103917086
0.64,0.01,0.35,24.505060416723474,0.3498502975622415
0.63,0.01,0.36,24.50505898587949,0.33621085539034823
0.62,0.01,0.37,24.505057689909712,0.323843792217577
0.61,0.01,0.38,24.505056520572808,0.3126742818430728
0.6,0.01,0.39,24.505055470672772,0.30263683701952715
0.59,0.01,0.4,24.505054533939948,0.293674279619367
0.58,0.01,0.41,24.505053704931225,0.28573687538837333
0.57,0.01,0.42,24.50505297894667,0.2787816075194982
0.56,0.01,0.43,24.50505235195989,0.2727715683058811
0.55,0.01,0.44,24.50505182056019,0.26767545216708655
0.54,0.01,0.45,24.505051381904714,0.2634671366138086
0.53,0.01,0.46,24.505051033679717,0.2601253403973942
0.52,0.01,0.47,24.505050774069506,0.2576333503167483
0.51,0.01,0.48,24.5050506017325,0.25597881003220735
0.5,0.01,0.49,24.505050515783815,0.2551535658488362
0.49,0.01,0.5,24.50505051578381,0.25515356584883975
0.48,0.01,0.51,24.505050601732485,0.25597881003220735
0.47,0.01,0.52,24.505050774069513,0.2576333503167483
0.46,0.01,0.53,24.505051033679713,0.2601253403973942
0.45,0.01,0.54,24.50505138190471,0.26346713661380505
0.44,0.01,0.55,24.505051820560194,0.267675452167083
0.43,0.01,0.56,24.505052351959897,0.2727715683058811
0.42,0.01,0.57,24.505052978946665,0.2787816075194982
0.41,0.01,0.58,24.50505370493122,0.2857368753883698
0.4,0.01,0.59,24.505054533939944,0.293674279619367
0.39,0.01,0.6,24.505055470672783,0.30263683701952715
0.38,0.01,0.61,24.5050565205728,0.31267428184307633
0.37,0.01,0.62,24.505057689909705,0.32384379221758053
0.36,0.01,0.63,24.505058985879497,0.33621085539034823
0.35,0.01,0.64,24.50506041672347,0.3498502975622415
0.34,0.01,0.65,24.50506199187073,0.36484751039171215
0.33,0.01,0.66,24.505063722108716,0.38129991425492094
0.32,0.01,0.67,24.505065619788237,0.39931870856997875
0.31,0.01,0.68,24.50506769907082,0.41903097265593203
0.3,0.01,0.69,24.50506997622847,0.4405821976845772
0.29,0.01,0.7,24.505072470008656,0.4641393526514399
0.28,0.01,0.71,24.505075202081635,0.48989461683184743
0.27,0.01,0.72,24.505078197591804,0.5180699505563453
0.26,0.01,0.73,24.50508148584244,0.548922729120676
0.25,0.01,0.74,24.505085101152428,0.5827527366854071
0.24,0.01,0.75,24.505089083937268,0.6199109160627287
0.23,0.01,0.76,24.50509348208577,0.6608104080744113
0.22,0.01,0.77,24.505098352730702,0.7059406083082571
0.21,0.01,0.78,24.505103764551425,0.7558852464375789
0.2,0.01,0.79,24.50510980080434,0.811345895398194
0.19,0.01,0.8,24.505116563364005,0.8731729103202035
0.18,0.01,0.81,24.50512417819127,0.9424066860062545
0.17,0.01,0.82,24.505132802852476,1.0203334812221385
0.16,0.01,0.83,24.505142637046774,1.1085621822303402
0.15,0.01,0.84,24.505153937645787,1.2091317766399143
0.14,0.01,0.85,24.50516704067501,1.3246648920980952
0.13,0.01,0.86,24.505182394285995,1.458592203209534
0.12,0.01,0.87,24.50520060971362,1.6154890454587907
0.11,0.01,0.88,24.50522254280717,1.8015956390110155
0.1,0.01,0.89,24.505249429913846,2.0256494464906467
0.09,0.01,0.9,24.505283125671102,2.3002724298844512
